,regionId,cryptoCurrencyId,providerName,fiatCurrencyId,amountIn,amountOut,exchangeRate,networkFee,providerFee,extraFee,chainName,paymentMethod,symbol,spread,bestRate
0,de,0x0000000000000000000000000000000000000000,banxa,eur,1029,0.45107,2281.1537011993705,0.04,0.0,0,Ethereum Mainnet,sepa-bank-transfer,ETH,-3.63806207381856e-14,True
1,de,0x0000000000000000000000000000000000000000,banxa,eur,1029,0.452108,2275.9163739637434,0.04,0.0,0,Ethereum Mainnet,debit-credit-card,ETH,-3.63806207381856e-14,True
2,de,0x0000000000000000000000000000000000000000,banxa,eur,3027,1.326942,2281.154715126961,0.04,0.0,0,Ethereum Mainnet,sepa-bank-transfer,ETH,-3.63806207381856e-14,True
3,de,0x0000000000000000000000000000000000000000,banxa,eur,3027,1.329991,2275.9251754335182,0.04,0.0,0,Ethereum Mainnet,debit-credit-card,ETH,-3.63806207381856e-14,True
4,de,0x0000000000000000000000000000000000000000,banxa,eur,5025,2.202815,2281.1538871852604,0.04,0.0,0,Ethereum Mainnet,sepa-bank-transfer,ETH,-3.63806207381856e-14,True
5,de,0x0000000000000000000000000000000000000000,banxa,eur,5025,2.207873,2275.928008540346,0.04,0.0,0,Ethereum Mainnet,debit-credit-card,ETH,-3.63806207381856e-14,True
6,de,0x0000000000000000000000000000000000000000,banxa,eur,7023,3.078688,2281.1535303349997,0.04,0.0,0,Ethereum Mainnet,sepa-bank-transfer,ETH,-3.63806207381856e-14,True
7,de,0x0000000000000000000000000000000000000000,banxa,eur,7023,3.085756,2275.9284920777923,0.04,0.0,0,Ethereum Mainnet,debit-credit-card,ETH,-3.63806207381856e-14,True
8,de,0x0000000000000000000000000000000000000000,banxa,eur,9021,3.954561,2281.153331558168,0.04,0.0,0,Ethereum Mainnet,sepa-bank-transfer,ETH,8.731140810347426e-13,True
9,de,0x0000000000000000000000000000000000000000,banxa,eur,9021,3.963643,2275.926464618534,0.04,0.0,0,Ethereum Mainnet,debit-credit-card,ETH,8.731140810347426e-13,True
10,de,0x0000000000000000000000000000000000000000,banxa,eur,11019,4.830437,2281.151788130142,0.04,0.0,0,Ethereum Mainnet,sepa-bank-transfer,ETH,8.731140810347426e-13,True
11,de,0x0000000000000000000000000000000000000000,banxa,eur,11019,4.841526,2275.9270527515496,0.04,0.0,0,Ethereum Mainnet,debit-credit-card,ETH,8.731140810347426e-13,True
12,de,0x0000000000000000000000000000000000000000,banxa,eur,13017,5.70631,2281.151917789254,0.04,0.0,0,Ethereum Mainnet,sepa-bank-transfer,ETH,8.731140810347426e-13,True
13,de,0x0000000000000000000000000000000000000000,banxa,eur,13017,5.719408,2275.927858267849,0.04,0.0,0,Ethereum Mainnet,debit-credit-card,ETH,-9.458753225111138e-13,True
14,de,0x0000000000000000000000000000000000000000,banxa,eur,15015,6.582183,2281.152012941603,0.04,0.0,0,Ethereum Mainnet,sepa-bank-transfer,ETH,8.731140810347426e-13,True
15,de,0x0000000000000000000000000000000000000000,banxa,eur,17013,7.458055,2281.152391608804,0.04,0.0,0,Ethereum Mainnet,sepa-bank-transfer,ETH,8.731140810347426e-13,True
16,de,0x0000000000000000000000000000000000000000,banxa,eur,19011,8.333928,2281.1524169635254,0.04,0.0,0,Ethereum Mainnet,sepa-bank-transfer,ETH,8.731140810347426e-13,True
17,de,0x0000000000000000000000000000000000000000,banxa,eur,21009,9.209801,2281.1524374956634,0.04,0.0,0,Ethereum Mainnet,sepa-bank-transfer,ETH,8.731140810347426e-13,True
18,de,0x0000000000000000000000000000000000000000,banxa,eur,23007,10.085673,2281.1526806391603,0.04,0.0,0,Ethereum Mainnet,sepa-bank-transfer,ETH,-2.7648647260569703e-12,True
19,de,0x0000000000000000000000000000000000000000,banxa,eur,25005,10.96155,2281.151844401567,0.04,0.0,0,Ethereum Mainnet,sepa-bank-transfer,ETH,8.731140810347426e-13,True
20,de,0x0000000000000000000000000000000000000000,banxa,eur,27003,11.837423,2281.1519027409936,0.04,0.0,0,Ethereum Mainnet,sepa-bank-transfer,ETH,8.731140810347426e-13,True
21,de,0x0000000000000000000000000000000000000000,banxa,eur,29001,12.713296,2281.1519530419177,0.04,0.0,0,Ethereum Mainnet,sepa-bank-transfer,ETH,8.731140810347426e-13,True
22,de,0x0000000000000000000000000000000000000000,blockchaindotcom,eur,1029,0.44630209,2282.4002459858525,0.07,10.29,0,Ethereum Mainnet,debit-credit-card,ETH,-9.947598300641403e-14,False
23,de,0x0000000000000000000000000000000000000000,coinbase,eur,1029,0.42838625,2343.2124630517433,0.1,25.1,0,Ethereum Mainnet,debit-credit-card,ETH,4.263256414560601e-14,False
24,de,0x0000000000000000000000000000000000000000,coinbase,eur,3027,1.26011324,2343.495732177213,0.1,73.83,0,Ethereum Mainnet,debit-credit-card,ETH,-1.5631940186722204e-13,False
25,de,0x0000000000000000000000000000000000000000,coinbase,eur,5025,2.09217804,2343.1753446757334,0.1,122.56,0,Ethereum Mainnet,debit-credit-card,ETH,-1.4210854715202004e-13,False
26,de,0x0000000000000000000000000000000000000000,coinbase,eur,5025,2.09224052,2343.105371078465,0.1,122.56,0,Ethereum Mainnet,debit-credit-card,ETH,-1.4210854715202004e-13,False
27,de,0x0000000000000000000000000000000000000000,mercuryo,eur,1029,0.43075236076678247,2276.1337819593155,0.05,48.5,0,Ethereum Mainnet,debit-credit-card,ETH,-4.263256414560601e-14,False
28,de,0x0000000000000000000000000000000000000000,mercuryo,eur,1029,0.43902042566286664,2275.543326922929,0.05,29.94,0,Ethereum Mainnet,sepa-bank-transfer,ETH,1.2079226507921703e-13,False
29,de,0x0000000000000000000000000000000000000000,mercuryo,eur,1029,0.4466665906753251,2276.1496409723836,0.05,12.27,0,Ethereum Mainnet,debit-credit-card,ETH,1.6342482922482304e-13,False
30,de,0x0000000000000000000000000000000000000000,mercuryo,eur,3027,1.2674556977082416,2275.598275517733,0.05,142.73,0,Ethereum Mainnet,debit-credit-card,ETH,1.9895196601282805e-13,False
31,de,0x0000000000000000000000000000000000000000,mercuryo,eur,3027,1.291467773796784,2275.565879092878,0.05,88.13,0,Ethereum Mainnet,sepa-bank-transfer,ETH,-6.110667527536862e-13,False
32,de,0x0000000000000000000000000000000000000000,mercuryo,eur,3027,1.3142974112916628,2275.6036604079495,0.05,36.13,0,Ethereum Mainnet,debit-credit-card,ETH,-1.6342482922482304e-13,False
33,de,0x0000000000000000000000000000000000000000,mercuryo,eur,5025,2.1040503725784707,2275.60141258996,0.05,236.97,0,Ethereum Mainnet,debit-credit-card,ETH,4.263256414560601e-13,False
34,de,0x0000000000000000000000000000000000000000,mercuryo,eur,5025,2.143911884848072,2275.57393308901,0.05,146.32,0,Ethereum Mainnet,sepa-bank-transfer,ETH,-1.1368683772161603e-13,False
35,de,0x0000000000000000000000000000000000000000,mercuryo,eur,5025,2.1818157148076343,2275.6046563894824,0.05,60.0,0,Ethereum Mainnet,debit-credit-card,ETH,1.8474111129762605e-13,False
36,de,0x0000000000000000000000000000000000000000,mercuryo,eur,7023,2.9405573996087053,2275.670592551758,0.05,331.21,0,Ethereum Mainnet,debit-credit-card,ETH,2.2737367544323206e-13,False
37,de,0x0000000000000000000000000000000000000000,mercuryo,eur,7023,2.9953914986383103,2276.306787643493,0.05,204.52,0,Ethereum Mainnet,sepa-bank-transfer,ETH,-3.126388037344441e-13,False
38,de,0x0000000000000000000000000000000000000000,mercuryo,eur,7023,3.0492373718480676,2275.680491149952,0.05,83.86,0,Ethereum Mainnet,debit-credit-card,ETH,-1.4210854715202004e-13,False
39,de,0x0000000000000000000000000000000000000000,mercuryo,eur,9021,3.7770533876055925,2275.718428605267,0.05,425.44,0,Ethereum Mainnet,debit-credit-card,ETH,-2.2737367544323206e-13,False
40,de,0x0000000000000000000000000000000000000000,mercuryo,eur,9021,3.84753182978388,2276.3268473056296,0.05,262.71,0,Ethereum Mainnet,sepa-bank-transfer,ETH,2.2737367544323206e-13,False
41,de,0x0000000000000000000000000000000000000000,mercuryo,eur,9021,3.9166531778293345,2275.726135378635,0.05,107.72,0,Ethereum Mainnet,debit-credit-card,ETH,4.405364961712621e-13,False
42,de,0x0000000000000000000000000000000000000000,mercuryo,eur,11019,4.613544981348309,2275.748918119703,0.05,519.68,0,Ethereum Mainnet,debit-credit-card,ETH,-3.410605131648481e-13,False
43,de,0x0000000000000000000000000000000000000000,mercuryo,eur,11019,4.699667767887402,2276.3396325798135,0.05,320.91,0,Ethereum Mainnet,sepa-bank-transfer,ETH,-9.094947017729282e-13,False
44,de,0x0000000000000000000000000000000000000000,mercuryo,eur,11019,4.784068983858945,2275.7552277638742,0.05,131.58,0,Ethereum Mainnet,debit-credit-card,ETH,9.947598300641403e-13,False
45,de,0x0000000000000000000000000000000000000000,mercuryo,eur,13017,5.450036575118653,2275.7700483376984,0.05,613.92,0,Ethereum Mainnet,debit-credit-card,ETH,-5.684341886080801e-13,False
46,de,0x0000000000000000000000000000000000000000,mercuryo,eur,13017,5.551808099005498,2276.348493072704,0.05,379.1,0,Ethereum Mainnet,sepa-bank-transfer,ETH,-3.979039320256561e-13,False
47,de,0x0000000000000000000000000000000000000000,mercuryo,eur,13017,5.651484789912958,2275.7753896738504,0.05,155.44,0,Ethereum Mainnet,debit-credit-card,ETH,-2.2737367544323206e-13,False
48,de,0x0000000000000000000000000000000000000000,mercuryo,eur,15015,6.286532562989792,2275.78555533575,0.05,708.15,0,Ethereum Mainnet,debit-credit-card,ETH,7.958078640513122e-13,False
49,de,0x0000000000000000000000000000000000000000,mercuryo,eur,15015,6.403944037124255,2276.3549955296326,0.04,437.31,0,Ethereum Mainnet,sepa-bank-transfer,ETH,3.410605131648481e-13,False
50,de,0x0000000000000000000000000000000000000000,mercuryo,eur,15015,6.403944037124255,2276.3549955296326,0.05,437.3,0,Ethereum Mainnet,sepa-bank-transfer,ETH,3.410605131648481e-13,False
51,de,0x0000000000000000000000000000000000000000,mercuryo,eur,15015,6.519543976878508,2275.5655997742283,0.05,179.3,0,Ethereum Mainnet,debit-credit-card,ETH,-1.4779288903810084e-12,False
52,de,0x0000000000000000000000000000000000000000,mercuryo,eur,17013,7.123752619463994,2275.5647010689872,0.05,802.39,0,Ethereum Mainnet,debit-credit-card,ETH,5.684341886080801e-13,False
53,de,0x0000000000000000000000000000000000000000,mercuryo,eur,17013,7.256084368227774,2276.359970719886,0.04,495.5,0,Ethereum Mainnet,sepa-bank-transfer,ETH,8.526512829121202e-13,False
54,de,0x0000000000000000000000000000000000000000,mercuryo,eur,17013,7.387081947241164,2275.5656590865237,0.05,203.16,0,Ethereum Mainnet,debit-credit-card,ETH,-8.810729923425242e-13,False
55,de,0x0000000000000000000000000000000000000000,mercuryo,eur,19011,7.960366416781971,2275.5648485993734,0.05,896.62,0,Ethereum Mainnet,debit-credit-card,ETH,-1.7053025658242404e-12,False
56,de,0x0000000000000000000000000000000000000000,mercuryo,eur,19011,8.108224699324616,2276.363900168852,0.04,553.69,0,Ethereum Mainnet,sepa-bank-transfer,ETH,-4.547473508864641e-13,False
